route_id,agency_id,route_short_name,Type,avg_co2_per_vehicle_per_km,avg_passenger_count,route_long_name,route_desc,route_type,route_url
1078,HSL,78,C-bus,1300,14,Rautatientori-Viikki-Latokartano,,701,http://aikataulut.hsl.fi/linjat/fi/b78.html
1078N,HSL,78N,C-bus,1300,14,Rautatientori-Viikki-Latokartano,,701,http://aikataulut.hsl.fi/linjat/fi/b78N.html
1079,HSL,79,C-bus,0,14,Herttoniemi (M)-Latokartano-Malmi-Siltamäki-Puistolan asem,,701,http://aikataulut.hsl.fi/linjat/fi/b79.html
1079B,HSL,79B,A-bus,1100,11,Siilitie (M)-Latokartano,,701,http://aikataulut.hsl.fi/linjat/fi/b79B.html
1079N,HSL,79N,C-bus,0,14,Rautatientori-Malmi-Siltamäki-Puistolan asema,,701,http://aikataulut.hsl.fi/linjat/fi/b79N.html
1080,HSL,80,A-bus,0,11,Herttoniemi(M)-Roihuvuori-Itäkeskus(M),,701,http://aikataulut.hsl.fi/linjat/fi/b80.html
1081,HSL,81,A-bus,0,11,Kulosaari-Herttoniemi(M)-Länsi-Herttoniemi,,701,http://aikataulut.hsl.fi/linjat/fi/b81.html
1082,HSL,82,A-bus,0,11,Herttoniemi(M)-Roihuvuori-Itäkeskus(M),,701,http://aikataulut.hsl.fi/linjat/fi/h82_82b.html
1082B,HSL,82B,A-bus,0,11,Herttoniemi (M)-Tammisalo-Roihuvuori-Itäkeskus(M),,701,http://aikataulut.hsl.fi/linjat/fi/h82_82b.html
1083,HSL,83,A-bus,0,11,Herttoniemi(M)-Tammisalo-Herttoniemi(M),,701,http://aikataulut.hsl.fi/linjat/fi/b83.html
1084,HSL,84,C-bus,0,14,Herttoniemi(M)-Gunillankallio,,701,http://aikataulut.hsl.fi/linjat/fi/b84.html
1085,HSL,85,C-bus,0,14,Herttoniemi(M)-Jollas,,701,http://aikataulut.hsl.fi/linjat/fi/h85_85b.html
1085K,HSL,85K,A-bus,0,11,Herttoniemi(M)-Yliskylä-Jollas,,701,http://aikataulut.hsl.fi/linjat/fi/b85K.html
1085N,HSL,85N,C-bus,0,14,Rautatientori-Herttoniemenranta-Jollas,,701,http://aikataulut.hsl.fi/linjat/fi/h85n.html
1086,HSL,86,A-bus,0,11,Herttoniemi(M)-Santahamina,,701,http://aikataulut.hsl.fi/linjat/fi/b86.html
1086K,HSL,86K,C-bus,0,14,Herttoniemi (M)-Laajasalo-Santahamina,,701,http://aikataulut.hsl.fi/linjat/fi/b86K.html
1086N,HSL,86N,C-bus,0,14,Rautatientori-Kulosaari-Herttoniemi-Santahamina,,701,http://aikataulut.hsl.fi/linjat/fi/h86n.html
1087,HSL,87,C-bus,0,14,Herttoniemi(M) - Kruunuvuorenranta,,701,http://aikataulut.hsl.fi/linjat/fi/b87.html
1087N,HSL,87N,C-bus,0,14,Rautatientori-Yliskylä-Kruunuvuorenranta,,701,http://aikataulut.hsl.fi/linjat/fi/b87N.html
1088,HSL,88,C-bus,0,14,Herttoniemi(M) - Kaitalahti,,701,http://aikataulut.hsl.fi/linjat/fi/b88.html
1089,HSL,89,C-bus,0,14,Herttoniemi (M)-Yliskylä,,701,http://aikataulut.hsl.fi/linjat/fi/b89.html
1090,HSL,90,A-bus,1100,11,Vuosaari (M)-Aurinkolahti-Vuosaaren satama,,701,http://aikataulut.hsl.fi/linjat/fi/b90.html
1090A,HSL,90A,A-bus,1100,11,Rautatientori-Vuosaaren satama,,701,http://aikataulut.hsl.fi/linjat/fi/h90a.html
1090N,HSL,90N,C-bus,1300,14,Rautatientori-Länsi-Herttoniemi-Vuosaari (Kallvikintie),,701,http://aikataulut.hsl.fi/linjat/fi/h90n.html
